experiment,timestamp,repo_url,repo_name,model_provider,model_name,model_label,temperature,seed,prompt_id,prompt_description,prompt_source_path,build_success,runtime_success,repetition,status,generation_success,generation_time,overall_score,dockerfile_score,k8s_score,runtime_score,docker_llm_score,k8s_llm_score,tool_calls,tokens_used,error_count,warning_count,info_count,has_errors,is_clean,dockerfile_syntax_valid,k8s_syntax_valid,run_id,workspace_dir,report_path
h2,2025-12-29T21:31:50.283211+00:00,https://github.com/run-rasztabiga-me/poc1-fastapi.git,poc1-fastapi,google_genai,gemini-2.5-flash,google_gemini_2.5_flash,1.0,,default,default-system-prompt,,True,True,0,completed,True,14.787966966629028,98.4,100.0,96.0,100.0,,,8,27345,0,2,0,False,False,True,True,ca82697a-fd96-4dd2-af4f-a87058813056,/Users/rasztabigab/Studia/run/tmp/poc1-fastapi-ca82697a-fd96-4dd2-af4f-a87058813056,google_gemini_2-5_flash/default/poc1-fastapi/h2__gemini-2-5-flash__default__poc1-fastapi__run1_20251229_223244_7c287174.json
h2,2025-12-29T21:32:44.612333+00:00,https://github.com/run-rasztabiga-me/poc1-fastapi.git,poc1-fastapi,google_genai,gemini-2.5-flash,google_gemini_2.5_flash,1.0,,default,default-system-prompt,,True,True,1,completed,True,15.21865177154541,98.4,100.0,96.0,100.0,,,8,27963,0,2,0,False,False,True,True,cc7ca855-6ee0-48a3-b1fa-c14773032639,/Users/rasztabigab/Studia/run/tmp/poc1-fastapi-cc7ca855-6ee0-48a3-b1fa-c14773032639,google_gemini_2-5_flash/default/poc1-fastapi/h2__gemini-2-5-flash__default__poc1-fastapi__run2_20251229_223322_c4847ce8.json
h2,2025-12-29T21:33:22.629218+00:00,https://github.com/run-rasztabiga-me/poc1-fastapi.git,poc1-fastapi,google_genai,gemini-2.5-flash,google_gemini_2.5_flash,1.0,,default,default-system-prompt,,True,True,2,completed,True,15.310791015625,98.4,100.0,96.0,100.0,,,8,27330,0,2,0,False,False,True,True,c043a556-5201-4cc5-a8f9-7944b6eb6d44,/Users/rasztabigab/Studia/run/tmp/poc1-fastapi-c043a556-5201-4cc5-a8f9-7944b6eb6d44,google_gemini_2-5_flash/default/poc1-fastapi/h2__gemini-2-5-flash__default__poc1-fastapi__run3_20251229_223402_464525a2.json
h2,2025-12-29T21:34:02.698682+00:00,https://github.com/run-rasztabiga-me/poc1-fastapi.git,poc1-fastapi,openai,gpt-5-mini,openai_gpt5_mini,1.0,,default,default-system-prompt,,True,True,0,completed,True,50.55366802215576,97.7,98.0,96.0,100.0,,,12,42158,0,3,0,False,False,True,True,d70da574-2b1a-4bd4-bab6-dbcb16400663,/Users/rasztabigab/Studia/run/tmp/poc1-fastapi-d70da574-2b1a-4bd4-bab6-dbcb16400663,openai_gpt5_mini/default/poc1-fastapi/h2__gpt-5-mini__default__poc1-fastapi__run1_20251229_223548_d34a291f.json
h2,2025-12-29T21:35:49.053325+00:00,https://github.com/run-rasztabiga-me/poc1-fastapi.git,poc1-fastapi,openai,gpt-5-mini,openai_gpt5_mini,1.0,,default,default-system-prompt,,True,True,1,completed,True,39.094045877456665,98.4,100.0,96.0,100.0,,,13,45459,0,2,0,False,False,True,True,02e668b7-2bed-4d54-ba29-9cd34c752f0e,/Users/rasztabigab/Studia/run/tmp/poc1-fastapi-02e668b7-2bed-4d54-ba29-9cd34c752f0e,openai_gpt5_mini/default/poc1-fastapi/h2__gpt-5-mini__default__poc1-fastapi__run2_20251229_223657_ac4d4807.json
h2,2025-12-29T21:36:58.130920+00:00,https://github.com/run-rasztabiga-me/poc1-fastapi.git,poc1-fastapi,openai,gpt-5-mini,openai_gpt5_mini,1.0,,default,default-system-prompt,,True,True,2,completed,True,51.62968611717224,97.7,98.0,96.0,100.0,,,12,41190,0,3,0,False,False,True,True,b3cae231-84fc-4de4-9d7b-72fed370d5e8,/Users/rasztabigab/Studia/run/tmp/poc1-fastapi-b3cae231-84fc-4de4-9d7b-72fed370d5e8,openai_gpt5_mini/default/poc1-fastapi/h2__gpt-5-mini__default__poc1-fastapi__run3_20251229_223846_998c9907.json
h2,2025-12-29T21:38:46.431337+00:00,https://github.com/run-rasztabiga-me/poc1-fastapi.git,poc1-fastapi,deepseek,deepseek-chat,deepseek_v3_2,1.0,,default,default-system-prompt,,True,True,0,completed,True,91.13915872573853,97.7,98.0,96.0,100.0,,,21,100280,0,3,1,False,False,True,True,f99bc9ef-bfb0-4379-887b-7f999f4de494,/Users/rasztabigab/Studia/run/tmp/poc1-fastapi-f99bc9ef-bfb0-4379-887b-7f999f4de494,deepseek_v3_2/default/poc1-fastapi/h2__deepseek-chat__default__poc1-fastapi__run1_20251229_224041_ccc4a25f.json
h2,2025-12-29T21:40:41.513661+00:00,https://github.com/run-rasztabiga-me/poc1-fastapi.git,poc1-fastapi,deepseek,deepseek-chat,deepseek_v3_2,1.0,,default,default-system-prompt,,True,True,1,completed,True,97.41872596740723,97.7,98.0,96.0,100.0,,,21,101693,0,3,1,False,False,True,True,6dc32216-94c2-45c6-8ac1-8a4c54953796,/Users/rasztabigab/Studia/run/tmp/poc1-fastapi-6dc32216-94c2-45c6-8ac1-8a4c54953796,deepseek_v3_2/default/poc1-fastapi/h2__deepseek-chat__default__poc1-fastapi__run2_20251229_224242_8e4089cf.json
h2,2025-12-29T21:42:42.746302+00:00,https://github.com/run-rasztabiga-me/poc1-fastapi.git,poc1-fastapi,deepseek,deepseek-chat,deepseek_v3_2,1.0,,default,default-system-prompt,,True,True,2,completed,True,100.2600610256195,97.7,98.0,96.0,100.0,,,23,119894,0,3,0,False,False,True,True,0790fb2b-04bc-4410-8e93-bc244f2fb76d,/Users/rasztabigab/Studia/run/tmp/poc1-fastapi-0790fb2b-04bc-4410-8e93-bc244f2fb76d,deepseek_v3_2/default/poc1-fastapi/h2__deepseek-chat__default__poc1-fastapi__run3_20251229_224515_666e1e5a.json
h2,2025-12-29T21:45:16.100376+00:00,https://github.com/run-rasztabiga-me/poc2-fastapi.git,poc2-fastapi,google_genai,gemini-2.5-flash,google_gemini_2.5_flash,1.0,,default,default-system-prompt,,True,True,0,completed,True,22.04347515106201,96.80000000000001,100.0,92.0,100.0,,,14,48292,0,4,0,False,False,True,True,f9149966-cc6b-471b-b949-6fb1e6688f5e,/Users/rasztabigab/Studia/run/tmp/poc2-fastapi-f9149966-cc6b-471b-b949-6fb1e6688f5e,google_gemini_2-5_flash/default/poc2-fastapi/h2__gemini-2-5-flash__default__poc2-fastapi__run1_20251229_224623_e7314620.json
